scenario_id,scenario_title,hardware,workload,M,N,K,actual_cycles,tiledataflow_sim_cycles,tileflow_sim_cycles,llmcompass_cycles,tiledataflow_mape_percent,tileflow_mape_percent,llmcompass_mape_percent
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,512,512,29480,28050,24576,19525,4.850746,16.635007,33.768657
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,512,1024,40730,39002,49152,36861,4.242573,20.677633,9.499141
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,512,1536,52006,49954,73728,54197,3.945699,41.768258,4.212975
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,512,2048,63461,60906,98304,71533,4.026095,54.904587,12.719623
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1024,512,29543,28094,24576,21670,4.904715,16.812781,26.649291
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1024,1024,41001,39046,49152,39006,4.768176,19.880003,4.865735
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1024,1536,52274,49998,73728,56342,4.353981,41.041436,7.782071
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1024,2048,63764,60950,98304,73678,4.413148,54.168496,15.547958
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1536,512,29635,28525,24576,23816,3.745571,17.071031,19.635566
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1536,1024,41036,39477,49152,41152,3.799103,19.777756,0.282679
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1536,1536,52430,50429,73728,58488,3.816517,40.621781,11.554454
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,1536,2048,63618,61381,98304,75824,3.516300,54.522305,19.186394
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,2048,512,29899,28956,25017,25959,3.153952,16.328305,13.177698
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,2048,1024,40963,39908,49593,43295,2.575495,21.067793,5.692942
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,2048,1536,52481,50860,74169,60631,3.088737,41.325432,15.529430
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1024,2048,2048,63819,61812,98745,77967,3.144831,54.726649,22.168947
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,512,512,29583,28051,24576,20592,5.178650,16.925261,30.392455
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,512,1024,40945,39003,49152,37928,4.742948,20.043961,7.368421
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,512,1536,52250,49955,73728,55264,4.392344,41.106220,5.768421
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,512,2048,63602,60907,98304,72600,4.237288,54.561177,14.147354
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1024,512,29833,28525,24576,23816,4.384407,17.621426,20.168940
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1024,1024,40854,39477,49152,41152,3.370539,20.311353,0.729427
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1024,1536,52299,50429,73728,58488,3.575594,40.974015,11.833878
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1024,2048,63698,61381,98304,75824,3.637477,54.328236,19.036704
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1536,512,29893,29172,25437,26989,2.411936,14.906500,9.714649
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1536,1024,41268,40124,50013,44325,2.772124,21.190753,7.407677
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1536,1536,52649,51076,74589,61661,2.987711,41.672206,17.117134
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,1536,2048,63911,62028,99165,78997,2.946285,55.161083,23.604700
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,2048,512,30715,29818,26721,30211,2.920397,13.003419,1.640892
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,2048,1024,41972,40770,51297,47547,2.863814,22.217192,13.282665
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,2048,1536,53147,51722,75873,64883,2.681243,42.760645,22.082150
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,1536,2048,2048,64456,62674,100449,82219,2.764677,55.841194,27.558334
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,512,512,29525,28094,24576,21709,4.846740,16.762066,26.472481
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,512,1024,40914,39046,49152,39045,4.565674,20.134917,4.568118
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,512,1536,52213,49998,73728,56381,4.242239,41.206213,7.982686
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,512,2048,63495,60950,98304,73717,4.008190,54.821639,16.098905
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1024,512,29770,28956,25017,25959,2.734296,15.965737,12.801478
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1024,1024,40989,39908,49593,43295,2.637293,20.990998,5.625900
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1024,1536,52429,50860,74169,60631,2.992619,41.465601,15.644014
